Station Name,Station Type,Network Operator,Address,City,State,Pincode,Latitude,Longitude,Number of Chargers,Charger Types,Availability Status,Price per Hour,Price per Minute,Free Charging,Weekdays Hours,Weekends Hours,Holidays Hours,Contact Phone,Contact Email,Contact Website,Description,Notes,Verification Status,Is Featured
Ather Grid Charging Station,Public Charging Station,Ather Energy,,Kolhapur,Maharashtra,416001,16.6922601,74.4752928,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,J7MP+R7G,Kolhapur,Maharashtra,416001,16.6925837,74.1852857,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.6/5 (7 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Electric Vehicle Charging Station,Public Charging Station,E-Fill,"Mali Petroleum, Main road",Kolhapur,Maharashtra,416001,16.6982959,74.4421098,1,CCS,active,0,,,24/7,24/7,,9.19922E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 5.0/5 (14 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
E-Fill Electric Charging Station,Public Charging Station,E-Fill,Chandran Menon Rd,Kolhapur,Maharashtra,416001,16.7013912,74.2546376,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 4.3/5 (19 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
ChargeZone Charging Station,Public Charging Station,ChargeZone,"E, Ground Floor, GPT Complex, No 517, Old Pune-Bangalore Hwy, opposite Opal Hotel",Kolhapur,Maharashtra,416001,16.702509,74.2502457,1,CCS,active,0,,,24/7,24/7,,9.118E+12,,www.chargezone.in,ChargeZone public charging station in Kolhapur. Connector types: CCS. Google rating 5.0/5 (1 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Zeon Charging Station,Public Charging Station,Zeon Charging,"railway Station, Railway Colony Rd",Kolhapur,Maharashtra,416001,16.7029028,74.2370796,1,CCS,active,0,,,24/7,24/7,,9.1979E+11,,www.zeoncharging.com,Zeon Charging public charging station in Kolhapur. Connector types: CCS. Google rating 4.0/5 (5 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Fast DC charging.",pending,FALSE
Bijlify Charging Station,Public Charging Station,Bijlify,"2104/15, E Ward, Old Pune-Bangalore Hwy",Kolhapur,Maharashtra,416001,16.7038131,74.2504437,2,"CCS,J1772",active,0,,,24/7,24/7,,9.18669E+11,,www.bijlify.com,"Bijlify public charging station in Kolhapur. Connector types: CCS,J1772. Google rating 3.1/5 (10 reviews).","Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Electric Vehicle Charging Station,Public Charging Station,E-Fill,"P732+J78, DYP City Mall, old Pune Mumbai Hwy",Kolhapur,Maharashtra,416001,16.7040405,74.2507048,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 4.4/5 (45 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Ather Charging Station,Public Charging Station,Ather Energy,"M664+F59, Kalamba Rd",Kolhapur,Maharashtra,416001,16.7076031,74.2510063,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,www.atherenergy.com,Ather Energy public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
goEgo Charging Station,Public Charging Station,goEgo,,Kolhapur,Maharashtra,416001,16.7102191,74.246085,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.goego.in,goEgo public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Adani Charging Station,Public Charging Station,Adani Energisation,,Kolhapur,Maharashtra,416001,16.745056,74.325101,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.adani.com,Adani Energisation public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,"Q72H+WJQ, Tal",Kolhapur,Maharashtra,416001,16.7518609,74.421788,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.5/5 (10 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,"Q72H+WJQ, Tal",Kolhapur,Maharashtra,416001,16.752332,74.279114,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.5/5 (10 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Tata Power Charging Station,Public Charging Station,Tata Power,,Kolhapur,Maharashtra,416001,16.7530655,74.2791333,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.tatapower.com,Tata Power public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Mercedes-Benz Charging Station,Public Charging Station,Mercedes-Benz,,Kolhapur,Maharashtra,416001,16.757655,74.277719,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.mercedes-benz.co.in,Mercedes-Benz public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
chargeMOD Charging Station,Public Charging Station,chargeMOD,,Kolhapur,Maharashtra,416001,16.7587854,74.5161609,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,,chargeMOD public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
Vijaya Power Charging Station,Public Charging Station,Vijaya Power,,Kolhapur,Maharashtra,416001,16.7820625,74.2781875,1,CCS,active,0,,,24/7,24/7,,9.17448E+11,,,Vijaya Power public charging station in Kolhapur. Connector types: CCS. Google rating 4.7/5 (26 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Malu EV World Charging Station,Public Charging Station,Malu EV World,,Kolhapur,Maharashtra,416001,16.7822597,74.5609539,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,,Malu EV World public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
BPCL Charging Station,Public Charging Station,BPCL,"Q72H+WJQ, Tal",Kolhapur,Maharashtra,416001,16.8114101,74.2849167,1,CCS,active,0,,,24/7,24/7,,9.118E+11,,www.bpclev.in,BPCL public charging station in Kolhapur. Connector types: CCS. Google rating 4.5/5 (10 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
Electric Vehicle Charging Station,Public Charging Station,E-Fill,"P732+J78, DYP City Mall old pune, Mumbai Hwy",Kolhapur,Maharashtra,416001,16.8220428,74.2864899,1,CCS,active,0,,,24/7,24/7,,9.19877E+11,,,E-Fill public charging station in Kolhapur. Connector types: CCS. Google rating 4.4/5 (45 reviews).,"Collected from Google Maps, Aug 2026. Connector note: Rapid DC charging.",pending,FALSE
ChargeZone Charging Station,Public Charging Station,ChargeZone,,Kolhapur,Maharashtra,416001,16.8618122,74.2970232,1,CCS,active,0,,,9 AM - 9 PM,9 AM - 9 PM,,9.19877E+11,,www.chargezone.in,ChargeZone public charging station in Kolhapur. Connector types: CCS.,"Collected from Google Maps, Aug 2026. Connector note: Standard DC charging.",pending,FALSE
